iter	Passed	Remaining
0	145	145715
1	151	75541
2	157	52341
3	163	40589
4	168	33515
5	173	28727
6	177	25189
7	181	22529
8	185	20441
9	189	18792
10	193	17387
11	196	16203
12	200	15211
13	203	14335
14	206	13568
15	209	12882
16	212	12278
17	215	11732
18	218	11256
19	220	10813
20	223	10420
21	225	10046
22	228	9723
23	231	9408
24	234	9135
25	236	8865
26	239	8623
27	241	8394
28	244	8193
29	247	7995
30	250	7823
31	252	7648
32	255	7490
33	258	7332
34	260	7191
35	263	7052
36	266	6930
37	268	6806
38	271	6695
39	274	6585
40	277	6479
41	279	6375
42	282	6286
43	285	6198
44	288	6113
45	290	6026
46	293	5945
47	295	5862
48	298	5791
49	300	5718
50	303	5649
51	306	5581
52	308	5520
53	311	5455
54	314	5398
55	316	5341
56	319	5291
57	322	5240
58	325	5186
59	327	5132
60	330	5086
61	332	5036
62	335	4991
63	338	4944
64	340	4901
65	343	4856
66	345	4818
67	348	4776
68	351	4740
69	353	4699
70	356	4662
71	358	4625
72	361	4594
73	364	4559
74	367	4528
75	369	4495
76	372	4463
77	374	4430
78	377	4400
79	380	4370
80	382	4341
81	385	4311
82	387	4283
83	390	4254
84	392	4227
85	395	4201
86	397	4176
87	400	4150
88	403	4126
89	405	4099
90	408	4078
91	411	4057
92	413	4035
93	416	4011
94	418	3988
95	421	3968
96	424	3948
97	426	3928
98	429	3908
99	431	3887
100	434	3867
101	437	3847
102	439	3828
103	442	3809
104	444	3791
105	447	3772
106	449	3755
107	452	3736
108	455	3720
109	457	3702
110	460	3686
111	462	3669
112	465	3653
113	468	3637
114	470	3621
115	473	3605
116	475	3592
117	478	3577
118	481	3563
119	483	3548
120	486	3535
121	489	3522
122	492	3511
123	495	3498
124	498	3486
125	500	3474
126	503	3460
127	505	3446
128	508	3433
129	511	3419
130	513	3407
131	516	3393
132	518	3380
133	521	3367
134	523	3357
135	526	3344
136	529	3332
137	531	3319
138	534	3308
139	536	3296
140	541	3301
141	544	3289
142	547	3278
143	549	3266
144	552	3255
145	554	3244
146	557	3235
147	560	3226
148	563	3217
149	565	3206
150	568	3197
151	571	3187
152	574	3178
153	576	3169
154	579	3161
155	582	3150
156	585	3141
157	587	3132
158	590	3125
159	593	3115
160	596	3106
161	598	3096
162	601	3087
163	604	3080
164	607	3073
165	609	3063
166	612	3055
167	614	3045
168	617	3038
169	620	3031
170	623	3023
171	625	3013
172	628	3005
173	631	2995
174	633	2987
175	636	2979
176	639	2971
177	641	2962
178	644	2954
179	646	2945
180	649	2937
181	651	2930
182	654	2922
183	657	2914
184	660	2908
185	662	2900
186	665	2893
187	668	2886
188	671	2879
189	673	2871
190	676	2863
191	677	2851
192	679	2842
193	682	2835
194	685	2828
195	687	2821
196	690	2813
197	692	2806
198	695	2799
199	698	2792
200	700	2783
201	701	2772
202	704	2765
203	706	2758
204	709	2752
205	712	2745
206	714	2739
207	717	2732
208	720	2726
209	722	2719
210	725	2712
211	727	2705
212	730	2698
213	732	2692
214	735	2685
215	737	2678
216	740	2671
217	742	2664
218	745	2658
219	747	2649
220	749	2642
221	752	2637
222	754	2630
223	756	2621
224	758	2613
225	761	2607
226	764	2602
227	766	2596
228	769	2591
229	771	2584
230	774	2578
231	777	2572
232	779	2566
233	781	2557
234	783	2550
235	786	2545
236	788	2539
237	791	2533
238	793	2527
239	796	2521
240	799	2516
241	801	2511
242	804	2506
243	807	2501
244	809	2495
245	812	2490
246	815	2485
247	817	2479
248	820	2473
249	822	2468
250	825	2462
251	827	2457
252	830	2452
253	833	2447
254	835	2441
255	838	2436
256	840	2431
257	843	2426
258	846	2421
259	849	2416
260	851	2410
261	854	2405
262	856	2400
263	859	2395
