iter	RMSE
0	75779.59042
1	73967.012
2	72102.47341
3	70401.56855
4	68763.1751
5	67093.37111
6	65483.66933
7	63980.52321
8	62584.20188
9	61199.14257
10	59915.84946
11	58681.65315
12	57340.79059
13	56071.13714
14	54809.64292
15	53738.48259
16	52737.2206
17	51701.11338
18	50685.87128
19	49777.67668
20	48852.2621
21	47993.14974
22	47111.58798
23	46237.38236
24	45405.06935
25	44637.16226
26	43886.87843
27	43242.28159
28	42583.55749
29	41995.38748
30	41385.97669
31	40770.64661
32	40213.57346
33	39635.17428
34	39112.80363
35	38505.70004
36	38030.92217
37	37560.63569
38	37137.17513
39	36647.22251
40	36247.76333
41	35664.9975
42	35238.91906
43	34756.49759
44	34321.25224
45	33920.99543
46	33583.11392
47	33218.47232
48	32859.41507
49	32517.41365
50	32201.31012
51	31810.7925
52	31480.36982
53	31173.53657
54	30853.30705
55	30590.94871
56	30329.01395
57	30077.59054
58	29805.00356
59	29480.42765
60	29267.93895
61	28976.39411
62	28748.75793
63	28476.91555
64	28240.28027
65	28021.14131
66	27794.5737
67	27568.90694
68	27322.94629
69	27132.84277
70	26942.63739
71	26806.89973
72	26623.3692
73	26426.67416
74	26231.56093
75	26046.05235
76	25892.57766
77	25728.28702
78	25549.8199
79	25421.84843
80	25263.54026
81	25124.01837
82	24928.99423
83	24773.22625
84	24663.24559
85	24543.59328
86	24393.2851
87	24272.5446
88	24167.20689
89	24041.00836
90	23923.70076
91	23778.5525
92	23623.56176
93	23514.76024
94	23448.85839
95	23343.72048
96	23260.4037
97	23230.83936
98	23122.01155
99	22981.55085
100	22889.02074
101	22764.78768
102	22690.7697
103	22606.5799
104	22545.84713
105	22454.4725
106	22355.78763
107	22238.41913
108	22148.93122
109	22039.33218
110	21964.41281
111	21872.17033
112	21789.80959
113	21719.17722
114	21637.13918
115	21572.8916
116	21519.05865
117	21433.29403
118	21341.72253
119	21253.35199
120	21158.27878
121	21064.83745
122	20968.55206
123	20889.70563
124	20841.86825
125	20780.8894
126	20674.93333
127	20575.76887
128	20509.09654
129	20476.71751
130	20429.70286
131	20404.75555
132	20340.41823
133	20248.45994
134	20170.69553
135	20111.30496
136	20059.60013
137	20005.10724
138	19938.09761
139	19874.42061
140	19799.98532
141	19741.26365
142	19675.81365
143	19613.30348
144	19543.00725
145	19455.62819
146	19404.3079
147	19327.70707
148	19279.23017
149	19264.35709
150	19252.40937
151	19194.8438
152	19152.04606
153	19087.50225
154	19026.74864
155	18956.95365
156	18908.73887
157	18855.96364
158	18789.63995
159	18732.42725
160	18684.42254
161	18651.39727
162	18589.59568
163	18524.82366
164	18515.65112
165	18456.33119
166	18426.63846
167	18380.19699
168	18361.68993
169	18305.64142
170	18265.90374
171	18200.69344
172	18142.21669
173	18087.78021
